# Data Source: Blockchain.com Public Charts API (https://www.blockchain.com/explorer/charts)
Date,Mining Difficulty
2013-07-15,
2013-07-17,26162875.6825699
2013-07-18,
2013-07-19,
2013-07-21,26162875.6825699
2013-07-22,
2013-07-23,
2013-07-25,31256960.7277689
2013-07-26,
2013-07-27,
2013-07-29,31256960.7277689
2013-07-30,
2013-07-31,
2013-08-02,31256960.7277689
2013-08-03,
2013-08-04,
2013-08-06,37392766.1364746
2013-08-07,
2013-08-08,
2013-08-10,37392766.1364746
2013-08-11,
2013-08-12,
2013-08-14,50810339.0482765
2013-08-15,
2013-08-16,
2013-08-18,50810339.0482765
2013-08-19,
2013-08-20,
2013-08-22,50810339.0482765
2013-08-23,
2013-08-24,
2013-08-26,65750060.1490848
2013-08-27,
2013-08-28,
2013-08-30,65750060.1490848
2013-08-31,
2013-09-01,
2013-09-03,65750060.1490848
2013-09-04,
2013-09-05,
2013-09-07,86933017.7711944
2013-09-08,
2013-09-09,
2013-09-11,86933017.7711944
2013-09-12,
2013-09-13,
2013-09-15,112628548.666347
2013-09-16,
2013-09-17,
2013-09-19,112628548.666347
2013-09-20,
2013-09-21,
2013-09-23,112628548.666347
2013-09-24,
2013-09-25,
2013-09-27,148819199.805093
2013-09-28,
2013-09-29,
2013-10-01,148819199.805093
2013-10-02,
2013-10-03,
2013-10-05,148819199.805093
2013-10-06,
2013-10-07,
2013-10-09,189281249.281033
2013-10-10,
2013-10-11,
2013-10-13,189281249.281033
2013-10-14,
2013-10-15,
2013-10-17,267731249.482421
2013-10-18,
2013-10-19,
2013-10-21,267731249.482421
2013-10-22,
2013-10-23,
2013-10-25,267731249.482421
2013-10-26,
2013-10-27,
2013-10-29,390928787.638086
2013-10-30,
2013-10-31,
2013-11-02,390928787.638086
2013-11-03,
2013-11-04,
2013-11-06,510929738.016152
2013-11-07,
2013-11-08,
2013-11-10,510929738.016152
2013-11-11,
2013-11-12,
2013-11-14,510929738.016152
2013-11-15,
2013-11-16,
2013-11-18,609482679.888355
2013-11-19,
2013-11-20,
2013-11-22,609482679.888355
2013-11-23,
2013-11-24,
2013-11-26,609482679.888355
2013-11-27,
2013-11-28,
2013-11-30,707408283.051497
2013-12-01,
2013-12-02,
2013-12-04,707408283.051497
2013-12-05,
2013-12-06,
2013-12-08,707408283.051497
2013-12-09,
2013-12-10,
2013-12-12,908350862.437022
2013-12-13,
2013-12-14,
2013-12-16,908350862.437022
2013-12-17,
2013-12-18,
2013-12-20,908350862.437022
2013-12-21,
2013-12-22,
2013-12-24,1180923195.25803
2013-12-25,
2013-12-26,
2013-12-28,1180923195.25803
2013-12-29,
2013-12-30,
2014-01-01,1180923195.25803
2014-01-02,
2014-01-03,
2014-01-05,1418481395.26264
2014-01-06,
2014-01-07,
2014-01-09,1418481395.26264
2014-01-10,
2014-01-11,
2014-01-13,1789546951.05324
2014-01-14,
2014-01-15,
2014-01-17,1789546951.05324
2014-01-18,
2014-01-19,
2014-01-21,1789546951.05324
2014-01-22,
2014-01-23,
2014-01-25,2193847870.17428
2014-01-26,
2014-01-27,
2014-01-29,2193847870.17428
2014-01-30,
2014-01-31,
2014-02-02,2193847870.17428
2014-02-03,
2014-02-04,
2014-02-06,2621404453.06462
2014-02-07,
2014-02-08,
2014-02-10,2621404453.06462
2014-02-11,
2014-02-12,
2014-02-14,2621404453.06462
2014-02-15,
2014-02-16,
2014-02-18,3129573174.52229
2014-02-19,
2014-02-20,
2014-02-22,3129573174.52229
2014-02-23,
2014-02-24,
2014-02-26,3129573174.52229
2014-02-27,
2014-02-28,
2014-03-02,3815723798.81463
2014-03-03,
2014-03-04,
2014-03-06,3815723798.81463
2014-03-07,
2014-03-08,
2014-03-10,3815723798.81463
2014-03-11,
2014-03-12,
2014-03-14,4250217919.86954
2014-03-15,
2014-03-16,
2014-03-18,4250217919.86954
2014-03-19,
2014-03-20,
2014-03-22,4250217919.86954
2014-03-23,
2014-03-24,
2014-03-26,5006860589.2054
2014-03-27,
2014-03-28,
2014-03-30,5006860589.2054
2014-03-31,
2014-04-01,
2014-04-03,5006860589.2054
2014-04-04,
2014-04-05,
2014-04-07,6119726089.12815
2014-04-08,
2014-04-09,
2014-04-11,6119726089.12815
2014-04-12,
2014-04-13,
2014-04-15,6119726089.12815
2014-04-16,
2014-04-17,
2014-04-19,6978842649.59238
2014-04-20,
2014-04-21,
2014-04-23,6978842649.59238
2014-04-24,
2014-04-25,
2014-04-27,6978842649.59238
2014-04-28,
2014-04-29,
2014-05-01,8000872135.96816
2014-05-02,
2014-05-03,
2014-05-05,8000872135.96816
2014-05-06,
2014-05-07,
2014-05-09,8000872135.96816
2014-05-10,
2014-05-11,
2014-05-13,8853416309.1278
2014-05-14,
2014-05-15,
2014-05-17,8853416309.1278
2014-05-18,
2014-05-19,
2014-05-21,8853416309.1278
2014-05-22,
2014-05-23,
2014-05-25,10455720138.4848
2014-05-26,
2014-05-27,
2014-05-29,10455720138.4848
2014-05-30,
2014-05-31,
2014-06-02,10455720138.4848
2014-06-03,
2014-06-04,
2014-06-06,11756551916.904
2014-06-07,
2014-06-08,
2014-06-10,11756551916.904
2014-06-11,
2014-06-12,
2014-06-14,11756551916.904
2014-06-15,
2014-06-16,
2014-06-18,13462580114.5253
2014-06-19,
2014-06-20,
2014-06-22,13462580114.5253
2014-06-23,
2014-06-24,
2014-06-26,13462580114.5253
2014-06-27,
2014-06-28,
2014-06-30,16818461371.1611
2014-07-01,
2014-07-02,
2014-07-04,16818461371.1611
2014-07-05,
2014-07-06,
2014-07-08,16818461371.1611
2014-07-09,
2014-07-10,
2014-07-12,16818461371.1611
2014-07-13,
2014-07-14,
2014-07-16,17336316978.5078
2014-07-17,
2014-07-18,
2014-07-20,17336316978.5078
2014-07-21,
2014-07-22,
2014-07-24,17336316978.5078
2014-07-25,
2014-07-26,
2014-07-28,18736441558.3102
2014-07-29,
2014-07-30,
2014-08-01,18736441558.3102
2014-08-02,
2014-08-03,
2014-08-05,18736441558.3102
2014-08-06,
2014-08-07,
2014-08-09,19729645940.5771
2014-08-10,
2014-08-11,
2014-08-13,19729645940.5771
2014-08-14,
2014-08-15,
2014-08-17,19729645940.5771
2014-08-18,
2014-08-19,
2014-08-21,23844670038.8033
2014-08-22,
2014-08-23,
2014-08-25,23844670038.8033
2014-08-26,
2014-08-27,
2014-08-29,23844670038.8033
2014-08-30,
2014-08-31,
2014-09-02,27428630902.2579
2014-09-03,
2014-09-04,
2014-09-06,27428630902.2579
2014-09-07,
2014-09-08,
2014-09-10,27428630902.2579
2014-09-11,
2014-09-12,
2014-09-14,29829733124.0404
2014-09-15,
2014-09-16,
2014-09-18,29829733124.0404
2014-09-19,
2014-09-20,
2014-09-22,29829733124.0404
2014-09-23,
2014-09-24,
2014-09-26,34661425923.9769
2014-09-27,
2014-09-28,
2014-09-30,34661425923.9769
2014-10-01,
2014-10-02,
2014-10-04,34661425923.9769
2014-10-05,
2014-10-06,
2014-10-08,34661425923.9769
2014-10-09,
2014-10-10,
2014-10-12,35002482026.1332
2014-10-13,
2014-10-14,
2014-10-16,35002482026.1332
2014-10-17,
2014-10-18,
2014-10-20,35002482026.1332
2014-10-22,
2014-10-24,35985640265.0762
2014-10-26,
2014-10-28,35985640265.0762
2014-10-30,
2014-11-01,35985640265.0762
2014-11-03,
2014-11-05,39603666252.4184
2014-11-07,
2014-11-09,39603666252.4184
2014-11-11,
2014-11-13,39603666252.4184
2014-11-15,
2014-11-17,39603666252.4184
2014-11-19,
2014-11-21,40300030327.8914
2014-11-23,
2014-11-25,40300030327.8914
2014-11-27,
2014-11-29,40300030327.8914
2014-12-01,
2014-12-03,40300030327.8914
2014-12-05,
2014-12-07,40007470271.2713
2014-12-09,
2014-12-11,40007470271.2713
2014-12-13,
2014-12-15,40007470271.2713
2014-12-17,
2014-12-19,39457671307.1387
2014-12-21,
2014-12-23,39457671307.1387
2014-12-25,
2014-12-27,39457671307.1387
2014-12-29,
2014-12-31,40640955016.5765
2015-01-02,
2015-01-04,40640955016.5765
2015-01-06,
2015-01-08,40640955016.5765
2015-01-10,
2015-01-12,43971662056.0896
2015-01-14,
2015-01-16,43971662056.0896
2015-01-18,
2015-01-20,43971662056.0896
2015-01-22,
2015-01-24,43971662056.0896
2015-01-26,
2015-01-28,41272873894.697
2015-01-30,
2015-02-01,41272873894.697
2015-02-03,
2015-02-05,41272873894.697
2015-02-07,
2015-02-09,44455415962.3438
2015-02-11,
2015-02-13,44455415962.3438
2015-02-15,
2015-02-17,44455415962.3438
2015-02-19,
2015-02-21,44455415962.3438
2015-02-23,
2015-02-25,46684376316.8603
2015-02-27,
2015-03-01,46684376316.8603
2015-03-03,
2015-03-05,46684376316.8603
2015-03-07,
2015-03-09,47427554950.6483
2015-03-11,
2015-03-13,47427554950.6483
2015-03-15,
2015-03-17,47427554950.6483
2015-03-19,
2015-03-21,47427554950.6483
2015-03-23,
2015-03-25,46717549644.7064
2015-03-27,
2015-03-29,46717549644.7064
2015-03-31,
2015-04-02,46717549644.7064
2015-04-04,
2015-04-06,49446390688.2414
2015-04-08,
2015-04-10,49446390688.2414
2015-04-12,
2015-04-14,49446390688.2414
2015-04-16,
2015-04-18,49446390688.2414
2015-04-20,
2015-04-22,47610564513.4713
2015-04-24,
2015-04-26,47610564513.4713
2015-04-28,
2015-04-30,47610564513.4713
2015-05-02,
2015-05-04,47643398017.8034
2015-05-06,
2015-05-08,47643398017.8034
2015-05-10,
2015-05-12,47643398017.8034
2015-05-14,
2015-05-16,47643398017.8034
2015-05-18,
2015-05-20,48807487244.6814
2015-05-22,
2015-05-24,48807487244.6814
2015-05-26,
2015-05-28,48807487244.6814
2015-05-30,
2015-06-01,48807487244.6814
2015-06-03,
2015-06-05,47589591153.625
2015-06-07,
2015-06-09,47589591153.625
2015-06-11,
2015-06-13,47589591153.625
2015-06-15,
2015-06-17,49692386354.8938
2015-06-19,
2015-06-21,49692386354.8938
2015-06-23,
2015-06-25,49692386354.8938
2015-06-27,
2015-06-29,49402014931.2275
2015-07-01,
2015-07-03,49402014931.2275
2015-07-05,
2015-07-07,49402014931.2275
2015-07-09,
2015-07-11,49402014931.2275
2015-07-13,
2015-07-15,51076366303.4819
2015-07-17,
2015-07-19,51076366303.4819
2015-07-21,
2015-07-23,51076366303.4819
2015-07-25,
2015-07-27,52278304845.5917
2015-07-29,
2015-07-31,52278304845.5917
2015-08-02,
2015-08-04,52278304845.5917
2015-08-06,
2015-08-08,52699842409.347
2015-08-10,
2015-08-12,52699842409.347
2015-08-14,
2015-08-16,52699842409.347
2015-08-18,
2015-08-20,52699842409.347
2015-08-22,
2015-08-24,54256630327.89
2015-08-26,
2015-08-28,54256630327.89
2015-08-30,
2015-09-01,54256630327.89
2015-09-03,
2015-09-05,56957648455.01
2015-09-07,
2015-09-09,56957648455.01
2015-09-11,
2015-09-13,56957648455.01
2015-09-15,
2015-09-17,56957648455.01
2015-09-19,
2015-09-21,59335351233.8666
2015-09-23,
2015-09-25,59335351233.8666
2015-09-27,
2015-09-29,59335351233.8666
2015-10-01,
2015-10-03,60813224039.4403
2015-10-05,
2015-10-07,60813224039.4403
2015-10-09,
2015-10-11,60813224039.4403
2015-10-13,
2015-10-15,60883825480.0983
2015-10-17,
2015-10-19,60883825480.0983
2015-10-21,
2015-10-23,60883825480.0983
2015-10-25,
2015-10-27,60883825480.0983
2015-10-29,
2015-10-31,62253982449.7608
2015-11-02,
2015-11-04,62253982449.7608
2015-11-06,
2015-11-08,62253982449.7608
2015-11-10,
2015-11-12,65848255179.7026
2015-11-14,
2015-11-16,65848255179.7026
2015-11-18,
2015-11-20,65848255179.7026
2015-11-22,
2015-11-24,72722780642.5472
2015-11-26,
2015-11-28,72722780642.5472
2015-11-30,
2015-12-02,72722780642.5472
2015-12-04,
2015-12-06,72722780642.5472
2015-12-08,
2015-12-10,79102380900.226
2015-12-12,
2015-12-14,79102380900.226
2015-12-16,
2015-12-18,79102380900.226
2015-12-20,
2015-12-22,93448670796.3238
2015-12-24,
2015-12-26,93448670796.3238
2015-12-28,
2015-12-30,93448670796.3238
2016-01-01,
2016-01-03,103880340815.456
2016-01-05,
2016-01-07,103880340815.456
2016-01-09,
2016-01-11,103880340815.456
2016-01-13,
2016-01-15,113354299801.471
2016-01-17,
2016-01-19,113354299801.471
2016-01-21,
2016-01-23,113354299801.471
2016-01-25,
2016-01-27,120033340651.237
2016-01-29,
2016-01-31,120033340651.237
2016-02-02,
2016-02-04,120033340651.237
2016-02-06,
2016-02-08,144116447847.349
2016-02-10,
2016-02-12,144116447847.349
2016-02-14,
2016-02-16,144116447847.349
2016-02-18,
2016-02-20,163491654908.959
2016-02-22,
2016-02-24,163491654908.959
2016-02-26,
2016-02-28,163491654908.959
2016-03-01,
2016-03-03,163491654908.959
2016-03-05,
2016-03-07,158427203767.392
2016-03-09,
2016-03-11,158427203767.392
2016-03-13,
2016-03-15,158427203767.392
2016-03-17,
2016-03-19,165496835118.226
2016-03-21,
2016-03-23,165496835118.226
2016-03-25,
2016-03-27,165496835118.226
2016-03-29,
2016-03-31,165496835118.226
2016-04-02,
2016-04-04,166851513282.777
2016-04-06,
2016-04-08,166851513282.777
2016-04-10,
2016-04-12,166851513282.777
2016-04-14,
2016-04-16,178678307671.688
2016-04-18,
2016-04-20,178678307671.0
2016-04-22,
2016-04-24,178678307671.0
2016-04-26,
2016-04-28,178666121338.551
2016-04-30,
2016-05-02,178659257772.0
2016-05-04,
2016-05-06,178659257772.0
2016-05-08,
2016-05-10,178659257772.0
2016-05-12,
2016-05-14,194254820283.0
2016-05-16,
2016-05-18,194254820283.0
2016-05-20,
2016-05-22,194254820283.0
2016-05-24,
2016-05-26,199312067531.0
2016-05-28,
2016-05-30,199312067531.0
2016-06-01,
2016-06-03,199312067531.0
2016-06-05,
2016-06-07,199312067531.0
2016-06-09,
2016-06-11,196061423939.0
2016-06-13,
2016-06-14,
2016-06-15,196061423939.0
2016-06-16,
2016-06-17,
2016-06-18,
2016-06-19,196061423939.0
2016-06-21,
2016-06-23,209453158595.0
2016-06-25,
2016-06-27,209453158595.0
2016-06-29,
2016-07-01,209453158595.0
2016-07-03,
2016-07-05,213398925331.0
2016-07-07,
2016-07-08,
2016-07-09,213398925331.0
2016-07-10,
2016-07-11,
2016-07-12,
2016-07-13,213398925331.0
2016-07-14,
2016-07-15,
2016-07-16,
2016-07-17,213398925331.0
2016-07-18,
2016-07-19,
2016-07-20,
2016-07-21,213492501107.0
2016-07-22,
2016-07-23,
2016-07-25,213492501107.0
2016-07-27,
2016-07-29,213492501107.0
2016-07-31,
2016-08-02,210798472402.845
2016-08-04,
2016-08-06,201893210853.0
2016-08-08,
2016-08-10,201893210853.0
2016-08-11,
2016-08-12,
2016-08-13,
2016-08-14,201893210853.0
2016-08-15,
2016-08-16,
2016-08-17,
2016-08-18,217375482757.0
2016-08-19,
2016-08-20,
2016-08-21,
2016-08-22,217375482757.0
2016-08-23,
2016-08-24,
2016-08-25,
2016-08-26,217375482757.0
2016-08-28,
2016-08-30,220755908330.0
2016-09-01,
2016-09-03,220755908330.0
2016-09-05,
2016-09-07,220755908330.0
2016-09-09,
2016-09-11,220755908330.0
2016-09-13,
2016-09-14,
2016-09-15,225832872179.0
2016-09-16,
2016-09-17,
2016-09-18,
2016-09-19,225832872179.0
2016-09-20,
2016-09-21,
2016-09-22,
2016-09-23,225832872179.0
2016-09-24,
2016-09-25,
2016-09-26,
2016-09-27,241227200229.0
2016-09-28,
2016-09-29,
2016-10-01,241227200229.0
2016-10-03,
2016-10-05,241227200229.0
2016-10-07,
2016-10-09,258522748404.0
2016-10-11,
2016-10-13,258522748404.0
2016-10-15,
2016-10-17,258522748404.0
2016-10-18,
2016-10-19,
2016-10-20,
2016-10-21,258522748404.0
2016-10-22,
2016-10-23,
2016-10-24,
2016-10-25,253618246641.0
2016-10-26,
2016-10-27,
2016-10-28,
2016-10-29,253618246641.0
2016-10-30,
2016-10-31,
2016-11-01,
2016-11-02,253618246641.0
2016-11-03,
2016-11-04,
2016-11-06,254620187304.0
2016-11-08,
2016-11-10,254620187304.0
2016-11-12,
2016-11-14,254620187304.0
2016-11-16,
2016-11-18,272434584596.115
2016-11-20,
2016-11-22,281800917193.0
2016-11-23,
2016-11-24,
2016-11-25,
2016-11-26,281800917193.0
2016-11-27,
2016-11-28,
2016-11-29,
2016-11-30,281800917193.0
2016-12-01,
2016-12-02,
2016-12-03,
2016-12-04,286765766820.0
2016-12-05,
2016-12-06,
2016-12-07,
2016-12-08,286765766820.0
2016-12-10,
2016-12-12,286765766820.0
2016-12-14,
2016-12-16,310153855703.0
2016-12-18,
2016-12-20,310153855703.0
2016-12-22,
2016-12-24,310153855703.0
2016-12-26,
2016-12-27,
2016-12-28,312083434211.183
2016-12-29,
2016-12-30,
2016-12-31,
2017-01-01,317688400354.0
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-05,317688400354.0
2017-01-06,
2017-01-07,
2017-01-08,
2017-01-09,317688400354.0
2017-01-10,
2017-01-11,
2017-01-13,336899932795.0
2017-01-15,
2017-01-17,336899932795.0
2017-01-19,
2017-01-21,336899932795.0
2017-01-23,
2017-01-25,392963262344.0
2017-01-27,
2017-01-29,392963262344.0
2017-01-30,
2017-01-31,
2017-02-01,
2017-02-02,392963262344.0
2017-02-03,
2017-02-04,
2017-02-05,
2017-02-06,422170566883.0
2017-02-07,
2017-02-08,
2017-02-09,
2017-02-10,422170566883.0
2017-02-11,
2017-02-12,
2017-02-13,
2017-02-14,422170566883.0
2017-02-16,
2017-02-18,432944392642.632
2017-02-20,
2017-02-22,440779902286.0
2017-02-24,
2017-02-26,440779902286.0
2017-02-28,
2017-03-02,440779902286.0
2017-03-04,
2017-03-05,
2017-03-06,460769358090.0
2017-03-07,
2017-03-08,
2017-03-09,
2017-03-10,460769358090.0
2017-03-11,
2017-03-12,
2017-03-13,
2017-03-14,460769358090.0
2017-03-15,
2017-03-16,
2017-03-17,
2017-03-18,475705205061.0
2017-03-19,
2017-03-20,
2017-03-22,475705205061.0
2017-03-24,
2017-03-26,475705205061.0
2017-03-28,
2017-03-30,482855238676.823
2017-04-01,
2017-04-03,499635929816.0
2017-04-05,
2017-04-06,
2017-04-07,499635929816.0
2017-04-08,
2017-04-09,
2017-04-10,
2017-04-11,499635929816.0
2017-04-12,
2017-04-13,
2017-04-14,
2017-04-15,520808749422.0
2017-04-16,
2017-04-17,
2017-04-18,
2017-04-19,520808749422.0
2017-04-20,
2017-04-21,
2017-04-23,520808749422.0
2017-04-25,
2017-04-27,521839702599.075
2017-04-29,
2017-05-01,521974519553.0
2017-05-03,
2017-05-05,521974519553.0
2017-05-07,
2017-05-09,521974519553.0
2017-05-10,
2017-05-11,
2017-05-12,
2017-05-13,559970892890.0
2017-05-14,
2017-05-15,
2017-05-16,
2017-05-17,559970892890.0
2017-05-18,
2017-05-19,
2017-05-20,
2017-05-21,559970892890.0
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,595921917085.0
2017-05-27,
2017-05-29,595921917085.0
2017-05-31,
2017-06-02,595921917085.0
2017-06-04,
2017-06-06,678760110082.0
2017-06-08,
2017-06-10,678760110082.0
2017-06-12,
2017-06-13,
2017-06-14,678760110082.0
2017-06-15,
2017-06-16,
2017-06-17,
2017-06-18,711697198173.0
2017-06-19,
2017-06-20,
2017-06-21,
2017-06-22,711697198173.0
2017-06-23,
2017-06-24,
2017-06-25,
2017-06-26,711697198173.0
2017-06-27,
2017-06-28,
2017-06-30,711697198173.0
2017-07-02,
2017-07-04,708659466230.0
2017-07-06,
2017-07-08,708659466230.0
2017-07-10,
2017-07-12,708659466230.0
2017-07-14,
2017-07-16,804525194568.0
2017-07-17,
2017-07-18,
2017-07-19,
2017-07-20,804525194568.0
2017-07-21,
2017-07-22,
2017-07-23,
2017-07-24,804525194568.0
2017-07-25,
2017-07-26,
2017-07-27,
2017-07-28,860221984436.0
2017-07-29,
2017-07-30,
2017-07-31,
2017-08-01,860221984436.0
2017-08-03,
2017-08-05,860221984436.0
2017-08-07,
2017-08-09,888074709977.536
2017-08-11,
2017-08-13,923233068448.0
2017-08-15,
2017-08-17,923233068448.0
2017-08-19,
2017-08-20,
2017-08-21,923233068448.0
2017-08-22,
